"D_METRIC_DEFINITION_ID","D_DATA_TYPE_ID","NAME","TYPE","CATEGORY","VALUE_TYPE","STATUS","HAS_TARGET","HAS_FORECAST","IS_CALCULATED","FUNCTIONAL_AREA","RECORD_EFF_DT","RECORD_END_DT","CREATE_DATE","CREATED_BY","LAST_MODIFIED_DATE","UPDATED_BY","LABEL","SORT_ORDER","SUB_CATEGORY","DISPLAY_FORMAT","HAS_ACTUAL","IS_WEEKLY","IS_MONTHLY"
162,2,"CALLS_CONTAINED_IN_IVR","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Calls Contained in IVR",2,"Inbound Calls","Default","Y","Y","Y"
163,2,"CALLS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Calls Handled",4,"Inbound Calls","Default","Y","Y","Y"
164,2,"WEB_CHATS_CREATED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Web Chats Created",5,"Web Chats","Default","Y","Y","Y"
165,2,"WEB_CHATS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Web Chats Handled",7,"Web Chats","Default","Y","Y","Y"
166,2,"VOICE_MAILS_CREATED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Voice Mails Created",8,"Voice Mail","Default","Y","Y","Y"
167,2,"VOICE_MAILS_HANDLED","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Voice Mails Handled",9,"Voice Mail","Default","Y","Y","Y"
168,2,"OUTBOUND_CALLS_ATTEMPTED","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Outbound Calls Attempted",10,"Outbound Calls","Default","Y","Y","Y"
169,2,"PEAK_DAY_PERCENTAGE","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Peak Day Percentage",11,"Contact Arrival Pattern","Percentage","Y","Y","N"
170,2,"PEAK_WEEK_PERCENTAGE","Corporate Standard","Contact Volumes","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Peak Week Percentage",11,"Contact Arrival Pattern","Percentage","Y","N","Y"
171,2,"MAX_NUMBER_OF_AGENTS_IN_TRAINING","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents in Training",21,"Staff Level","Default","Y","Y","Y"
172,2,"MAX_NUMBER_OF_AGENTS_NEEDED_TO_HANDLE_CONTACTS","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents Needed to Handle Contacts",22,"Staff Level","Default","Y","Y","Y"
173,2,"MAX_NUMBER_OF_AGENTS_SCHEDULED_TO_HANDLE_CONTACTS","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents Scheduled to Handle Contacts",23,"Staff Level","Default","Y","Y","Y"
174,2,"MAX_NUMBER_OF_AGENTS_AVAILABLE_TO_HANDLE_CONTACTS","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Number of Agents Available to Handle Contacts",24,"Staff Level","Default","Y","Y","Y"
175,2,"UNPLANNED_ABSENTEEISM_PERCENTAGE","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Unplanned Absenteeism Percentage (e.g., sick)",25,"Shrinkage","Default","Y","Y","Y"
176,2,"PLANNED_ABSENTEEISM_PERCENTAGE","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Planned Absenteeism Percentage (e.g., Vacation)",26,"Shrinkage","Default","Y","Y","Y"
177,2,"PLANNED_UNPAID_ABSENTEEISM_PERCENTAGE","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Planned Unpaid Absenteeism Percentage (e.g., FMLA/LOA)",27,"Shrinkage","Default","Y","Y","Y"
178,2,"AT_WORK_NOT_HANDLING_CONTACTS_PERCENTAGE","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","At Work - Not handling Contacts Percentage (e.g., training, meetings)",28,"Shrinkage","Default","Y","Y","Y"
179,2,"NUMBER_OF_SKILLED_AGENTS_ATTRITTED","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Number of Skilled Agents ""on the floor"" that Attritted",29,"Attrition","Default","Y","Y","Y"
180,2,"MAX_HANDLE_TIME","Corporate Standard","Performance","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Handle Time",13,"Handle Time","Time","Y","Y","Y"
181,2,"MAX_SPEED_TO_ANSWER","Corporate Standard","Performance","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Max Speed to Answer",15,"Speed to Answer","Time","Y","Y","Y"
182,2,"AVERAGE_ABANDON_WAIT_TIME","Corporate Standard","Performance","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Average Time Clients Wait before Abandon",17,"Client Behavior","Time","Y","Y","Y"
183,2,"DAYS_OF_OPERATION","Corporate Standard","Service Level Agreement (SLA) Compliance","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,04/14/2014 12:38:37,"MOTS",04/14/2014 12:38:37,"MOTS","Days of Operation",30,"Service Level Agreement (SLA) Compliance","Default","Y","Y","Y"
1,2,"Calls Arriving","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","Calls Created",1,"Inbound Calls","Default","Y","Y","Y"
2,2,"Calls Offered","Corporate Standard","Contact Volumes","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","Calls Offered",3,"Inbound Calls","Default","Y","Y","Y"
3,2,"FTE Count","Corporate Standard","Staff Level","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","Max Number of Agents on Payroll",20,"Staff Level","Default","Y","Y","Y"
4,2,"ASA","Corporate Standard","Performance","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","Average Speed to Answer",14,"Speed to Answer","Time","Y","Y","Y"
5,2,"Labor Cost per Transaction","Corporate Standard","Agent Efficiency","Decimal","OK","Y","Y","Y","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/09/2014 12:13:56,"MOTS","Labor Cost per Transaction",,"","Default","","",""
6,2,"Occupancy","Corporate Standard","Agent Efficiency","Decimal","Active","N","N","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/14/2014 12:38:37,"MOTS","Occupancy",18,"Agent Efficiency","Default","Y","Y","Y"
7,2,"Utilization","Corporate Standard","Agent Efficiency","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/14/2014 12:38:37,"MOTS","Total Utilization",19,"Agent Efficiency","Default","Y","Y","Y"
8,2,"AHT","Corporate Standard","Performance","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","Average Handle Time",12,"Handle Time","Time","Y","Y","Y"
9,2,"AB Rate","Corporate Standard","Performance","Decimal","Active","N","Y","N","Contact Center",01/01/1900 00:00:00,12/31/2199 00:00:00,09/01/2013 00:00:00,"MOTS",04/18/2014 13:00:06,"MOTS","AB Rate",16,"Speed to Answer","Percentage","Y","Y","Y"
10,2,"Calls Offered Per FTE","Corporate Standard","Agent Efficiency","Decimal","OK","Y","Y","Y","Contact Center",01/01/2000 00:00:00,12/31/1999 00:00:00,09/01/2013 00:00:00,"MOTS",04/09/2014 12:13:56,"MOTS","Calls Offered Per FTE",,"","Default","","",""
