ID	NAME	DESCRIPTION	ISDELETED	DATASOURCETYPEID	PARENTID	PROPERTYSETID	DATASOURCESUBTYPEID	ASSOCIATEDDATASOURCEID
1	Austin		0	-27003	NULL	1	NULL	NULL
2	SanAntonio(PG3)	NULL	0	-27003	NULL	2	-505013	NULL
3	Austin(PG1)	NULL	0	-27003	NULL	3	-505013	NULL
4	Midland(PG2)	NULL	0	-27003	NULL	4	-505013	NULL
6	QMAustin		0	-27004	NULL	56	NULL	NULL
7	QMAthens		0	-27004	NULL	57	NULL	NULL
8	QMMidland		0	-27004	NULL	58	NULL	NULL
9	QMSanAntonio		0	-27004	NULL	59	NULL	NULL
56	CCEU Lab		0	-27003	NULL	106	-505013	NULL
156	QMNorthView		0	-27004	NULL	208	NULL	NULL
107	MidlandICM(PG2)		0	-27003	NULL	157	-505013	NULL
5	Athens(PG4)	NULL	0	-27003	NULL	5	-505013	NULL
157	QMEdinburg		0	-27004	NULL	209	NULL	NULL