ID	NAME	DESCRIPTION	TIMEZONE	DAYBOUNDARYOFFSET	WEEKSTARTDAY	NUMSEATS	CHANGECOUNTER	MODIFIEDBY	PARENTID	IS24HOUR	CANCROSSDAYBOUNDARY	MINTIMEBETWEENSHIFT	MAXCONSECUTIVEWORKINGDAY
-3001	System	NULL	NOT APPLICABLE	0	1	0	0	NULL	-3001	0	0	0	7
-3002	State of Texas		America/Chicago	0	1	789	0		-3001	0	0	0	5
1	Austin		America/Chicago	0	1	1000	0		-3002	0	0	0	5
1102	EB/THS Outbound Agents		America/Chicago	0	1	1000	0		1	0	0	0	5
1151	EB/THS Austin		America/Chicago	0	1	1000	0		1	0	0	0	5
1152	EB/THS ENG Austin		America/Chicago	0	1	1000	0		1151	0	0	0	5
5	EB SEU Austin		America/Chicago	0	1	140	0		1	0	0	0	5
6	Midland		America/Chicago	0	1	401	0		-3002	0	0	0	5
1153	EB/THS SPN Austin		America/Chicago	0	1	1000	0		1151	0	0	0	5
12	Athens		America/Chicago	0	1	211	0		-3002	0	0	0	5
51	EB Athens		America/Chicago	0	1	0	0		12	0	0	0	5
52	IEE Athens		America/Chicago	0	1	0	0		12	0	0	0	5
101	Chip Enroll Austin		America/Chicago	0	1	140	0		1	0	0	0	5
151	THS Athens		America/Chicago	0	1	309	0		12	0	0	0	5
253	EB ENG Austin		America/Chicago	0	1	1000	0		209	0	0	0	5
254	EB SPN Austin		America/Chicago	0	1	1000	0		209	0	0	0	5
209	EB		America/Chicago	0	1	1000	0		1	0	0	0	5
451	CHIP Austin PT		America/Chicago	0	1	401	0		6	0	0	0	5
212	THS		America/Chicago	0	1	1000	0		1	0	0	0	5
213	THS ENG Austin		America/Chicago	0	1	1000	0		212	0	0	0	5
214	THS SPN Austin		America/Chicago	0	1	1000	0		212	0	0	0	5
215	EB Eng Athens		America/Chicago	0	1	0	0		51	0	0	0	5
216	EB SPN Athens		America/Chicago	0	1	0	0		51	0	0	0	5
217	IEE ENG Athens		America/Chicago	0	1	0	0		52	0	0	0	5
218	IEE SPN Athens		America/Chicago	0	1	0	0		52	0	0	0	5
219	THS ENG Athens		America/Chicago	0	1	309	0		151	0	0	0	5
220	THS SPN Athens		America/Chicago	0	1	309	0		151	0	0	0	5
251	CHIP ENRL ENG Austin		America/Chicago	0	1	140	0		101	0	0	0	5
252	CHIP ENRL SPN Austin		America/Chicago	0	1	140	0		101	0	0	0	5
551	San Antonio		America/Chicago	0	1	789	0		-3002	0	0	0	21
601	ES Complaints EN SA	San Antonio ES Complaints English	America/Chicago	0	1	789	0		551	0	0	0	7
353	CHIP Athens		America/Chicago	0	1	309	0		12	0	0	0	5
354	CHIP ENG ATHENS		America/Chicago	0	1	309	0		353	0	0	0	5
355	CHIP SPN ATHENS		America/Chicago	0	1	309	0		353	0	0	0	5
356	CHIP MIDLAND		America/Chicago	0	1	380	0		6	0	0	0	5
357	CHIP ENG MIDLAND		America/Chicago	0	1	380	0		356	0	0	0	5
358	CHIP SPN MIDLAND		America/Chicago	0	1	380	0		356	0	0	0	5
363	CHIP SEU MIDLAND		America/Chicago	0	1	380	0		6	0	0	0	5
364	CHIP ENG SEU MIDLAND		America/Chicago	0	1	380	0		363	0	0	0	5
365	CHIP SPN SEU MIDLAND		America/Chicago	0	1	380	0		363	0	0	0	5
366	ES MIDLAND		America/Chicago	0	1	380	0		6	0	0	0	5
367	ES ENG MIDLAND		America/Chicago	0	1	380	0		366	0	0	0	5
368	ES SPN MIDLAND		America/Chicago	0	1	380	0		366	0	0	0	5
369	ES MEPD/SEU MIDLAND		America/Chicago	0	1	380	0		6	0	0	0	5
370	ES ENG MEPD/SEU MIDLAND		America/Chicago	0	1	380	0		369	0	0	0	5
371	ES SPN MEPD/SEU MIDLAND		America/Chicago	0	1	380	0		369	0	0	0	5
602	ES Complaints SP SA	San Antonio ES Complaints Spanish	America/Chicago	0	1	789	0		551	0	0	0	7
651	QM Imports Athens		America/Chicago	0	1	211	0		12	0	0	0	7
652	QM Imports Austin		America/Chicago	0	1	140	0		1	0	0	0	7
653	QM Imports Midland		America/Chicago	0	1	401	0		6	0	0	0	7
703	THS VM		America/Chicago	0	1	1000	0		212	0	0	0	5
704	ES Virtual Contact Center		America/Chicago	0	1	1000	0		-3002	0	0	0	5
521	ES MEPD/SEU ATHENS		America/Chicago	0	1	211	0		12	0	0	0	5
522	ES  ENG MEPD/SEU ATHENS		America/Chicago	0	1	211	0		521	0	0	0	5
710	ES QC Midland		America/Chicago	0	1	789	0		707	0	0	0	5
711	ES QC Athens		America/Chicago	0	1	789	0		707	0	0	0	5
713	ES Spanish Athens		America/Chicago	0	1	789	0		706	0	0	0	5
714	ES English Edinburg		America/Chicago	0	1	789	0		705	0	0	0	5
715	ES QC Edinburg		America/Chicago	0	1	789	0		707	0	0	0	5
725	ES SEU Spanish Edinburg		America/Chicago	0	1	789	0		719	0	0	0	5
729	CHIP SEU English		America/Chicago	0	1	789	0		726	0	0	0	5
851	CHIP.Austin		America/Chicago	0	1	789	0		-3002	0	0	0	5
853	CHIP.Austin SPN		America/Chicago	0	1	789	0		851	0	0	0	5
901	Test Org		America/Chicago	0	1	789	0		-3002	0	0	0	5
751	CHIP.ATHENS		America/Chicago	0	1	789	0		-3002	0	0	0	5
753	CHIP.ATHENS SPN		America/Chicago	0	1	789	0		751	0	0	0	5
754	CHIP.MIDLAND		America/Chicago	0	1	789	0		-3002	0	0	0	5
755	CHIP.MIDLAND ENG		America/Chicago	0	1	789	0		754	0	0	0	5
756	CHIP.MIDLAND SPN		America/Chicago	0	1	789	0		754	0	0	0	5
804	New ES Supervisor Queue level 1		America/Chicago	0	1	789	0		-3002	0	0	0	5
702	EB VM		America/Chicago	0	1	1000	0		209	0	0	0	5
716	ES Spanish Edinburg		America/Chicago	0	1	789	0		706	0	0	0	5
723	ES SEU Spanish Athens		America/Chicago	0	1	789	0		719	0	0	0	5
724	ES SEU Spanish Midland		America/Chicago	0	1	789	0		719	0	0	0	5
805	ES Sup Que Spanish level 1		America/Chicago	0	1	789	0		804	0	0	0	5
854	CHIP Virtual Contact Center		America/Chicago	0	1	789	0		-3002	0	0	0	5
952	CHIP Austin EEU		America/Chicago	0	1	789	0		-3002	0	0	0	7
523	ES SPN MEPD/SEU ATHENS		America/Chicago	0	1	211	0		521	0	0	0	5
705	ES English		America/Chicago	0	1	789	0		704	0	0	0	5
706	ES Spanish		America/Chicago	0	1	789	0		704	0	0	0	5
707	ES QC		America/Chicago	0	1	789	0		704	0	0	0	5
708	ES English Midland		America/Chicago	0	1	789	0		705	0	0	0	5
717	ES SEU Virtual Contact Center		America/Chicago	0	1	789	0		-3002	0	0	0	5
718	ES SEU English		America/Chicago	0	1	789	0		717	0	0	0	5
719	ES SEU Spanish		America/Chicago	0	1	789	0		717	0	0	0	5
721	ES SEU English Midland		America/Chicago	0	1	789	0		718	0	0	0	5
722	ES SEU English Edinburg		America/Chicago	0	1	789	0		718	0	0	0	5
852	CHIP.Austin ENG		America/Chicago	0	1	789	0		851	0	0	0	5
728	CHIP SEU Spanish		America/Chicago	0	1	789	0		726	0	0	0	5
752	CHIP.ATHENS ENG		America/Chicago	0	1	789	0		751	0	0	0	5
709	ES English Athens		America/Chicago	0	1	789	0		705	0	0	0	5
712	ES Spanish Midland		America/Chicago	0	1	789	0		706	0	0	0	5
720	ES SEU English Athens		America/Chicago	0	1	789	0		718	0	0	0	5
726	CHIP SEU Virtual Contact Center		America/Chicago	0	1	789	0		-3002	0	0	0	5
806	ES Sup Que English level 1		America/Chicago	0	1	789	0		804	0	0	0	5
857	CHIP QC		America/Chicago	0	1	789	0		-3002	0	0	0	5
